11,8
14.9833,34
18.9667,85
22.95,114
26.9333,131
30.9167,76
34.9,91
38.8833,224
42.8667,598
46.85,3407
50.8333,4760
54.8167,1162
58.8,186
62.7833,133
66.7667,133
70.75,137
74.7333,108
78.7167,120
82.7,115
86.6833,134
90.6667,133
94.65,99
98.6333,110
102.617,114
106.6,114
110.583,103
114.567,102
118.55,109
122.533,97
126.517,102
130.5,81
134.483,89
138.467,119
142.45,550
146.433,3956
150.417,2798
154.4,1735
158.383,1741
162.367,2725
166.35,228
170.333,207
174.317,210
178.3,226
182.283,273
186.267,323
190.25,371
194.233,339
198.217,344
202.2,337
206.183,493
210.167,507
214.15,616
218.133,763
222.117,918
226.1,1235
230.083,10836
234.067,15841
238.05,68038
242.033,158342
246.017,20120
